|,2,0,2,12,0,12,0,12,-2,12
|,-2,0
132.00,33,-1,33,12,0,13,0,13,-33,14
132.00,-33,1
SR,10,0,10,12,0,12,0,12,-10,12
SR,-10,0
15,11,0,11,8,0,8,0,8,-11,8
15,-11,0
